"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/01/2017";"1800";"31,6";"33,3";"31,6";"52,0";"52,0";"46,0";"20,6";"20,7";"20,1";"1009,0";"1009,2";"1008,9";"2,8";"34,0";"10,4";"2281,80";"0,0"
"02/01/2017";"1900";"30,4";"31,7";"30,4";"55,0";"56,0";"51,0";"20,5";"20,5";"20,1";"1008,5";"1009,0";"1008,5";"2,6";"33,0";"8,5";"1355,50";"0,0"
"02/01/2017";"2000";"29,1";"30,4";"29,1";"60,0";"60,0";"55,0";"20,5";"20,6";"20,2";"1009,2";"1009,2";"1008,5";"3,1";"16,0";"8,5";"854,30";"0,0"
"02/01/2017";"2100";"28,4";"29,1";"28,4";"65,0";"65,0";"59,0";"21,0";"21,0";"20,3";"1009,7";"1009,7";"1009,2";"2,9";"34,0";"7,9";"350,70";"0,0"
"02/01/2017";"2200";"27,7";"28,4";"27,7";"70,0";"70,0";"65,0";"21,8";"21,8";"21,1";"1010,3";"1010,4";"1009,7";"2,7";"25,0";"7,7";"13,50";"0,0"
"02/01/2017";"2300";"27,4";"27,7";"27,4";"72,0";"72,0";"70,0";"21,9";"21,9";"21,8";"1011,0";"1011,0";"1010,2";"1,8";"27,0";"6,1";"";"0,0"
"03/01/2017";"0000";"27,1";"27,4";"27,1";"70,0";"72,0";"70,0";"21,3";"21,9";"21,2";"1011,2";"1011,2";"1010,8";"2,2";"15,0";"5,2";"";"0,0"
"03/01/2017";"0100";"26,9";"27,1";"26,9";"73,0";"73,0";"70,0";"21,6";"21,6";"21,2";"1011,5";"1011,7";"1011,2";"2,2";"7,0";"6,2";"";"0,0"
"03/01/2017";"0200";"26,6";"26,9";"26,5";"75,0";"75,0";"73,0";"21,8";"21,9";"21,6";"1011,5";"1011,6";"1011,4";"2,1";"4,0";"6,9";"";"0,0"
"03/01/2017";"0300";"26,4";"26,6";"26,4";"77,0";"77,0";"75,0";"22,0";"22,1";"21,8";"1011,0";"1011,5";"1011,0";"2,3";"4,0";"7,8";"";"0,0"
"03/01/2017";"0400";"26,0";"26,4";"26,0";"78,0";"78,0";"77,0";"21,8";"22,0";"21,7";"1010,4";"1011,1";"1010,4";"1,4";"345,0";"5,2";"";"0,0"
"03/01/2017";"0500";"25,3";"26,0";"25,3";"83,0";"83,0";"78,0";"22,2";"22,2";"21,7";"1010,3";"1010,5";"1010,2";"0,9";"325,0";"3,8";"";"0,0"
"03/01/2017";"0600";"25,1";"25,4";"25,0";"84,0";"86,0";"83,0";"22,2";"22,4";"22,1";"1010,5";"1010,5";"1010,2";"1,1";"326,0";"3,3";"";"0,0"
"03/01/2017";"0700";"25,2";"25,3";"25,1";"74,0";"84,0";"74,0";"20,3";"22,2";"20,3";"1011,0";"1011,0";"1010,4";"1,8";"322,0";"5,1";"";"0,0"
"03/01/2017";"0800";"25,0";"25,2";"24,9";"72,0";"75,0";"72,0";"19,7";"20,4";"19,7";"1011,7";"1011,7";"1011,0";"1,1";"356,0";"3,8";"";"0,0"
"03/01/2017";"0900";"25,2";"25,2";"24,9";"73,0";"73,0";"70,0";"20,0";"20,0";"19,0";"1012,6";"1012,6";"1011,7";"0,6";"288,0";"3,5";"87,20";"0,0"
"03/01/2017";"1000";"26,7";"26,9";"25,2";"62,0";"76,0";"61,0";"18,7";"21,1";"18,7";"1013,1";"1013,1";"1012,6";"0,9";"338,0";"2,5";"484,20";"0,0"
"03/01/2017";"1100";"28,7";"28,9";"26,7";"53,0";"64,0";"50,0";"18,1";"19,5";"17,3";"1013,5";"1013,5";"1013,1";"1,1";"346,0";"2,9";"1187,20";"0,0"
"03/01/2017";"1200";"31,1";"31,1";"28,7";"45,0";"53,0";"45,0";"17,9";"19,0";"17,3";"1013,5";"1013,6";"1013,4";"2,4";"314,0";"5,0";"2044,50";"0,0"
"03/01/2017";"1300";"32,6";"32,6";"31,0";"44,0";"47,0";"41,0";"18,8";"18,9";"17,3";"1013,1";"1013,5";"1013,1";"2,8";"10,0";"6,6";"3176,50";"0,0"
"03/01/2017";"1400";"33,2";"33,6";"32,0";"44,0";"46,0";"41,0";"19,3";"19,9";"18,1";"1013,0";"1013,2";"1013,0";"2,6";"14,0";"6,9";"3228,50";"0,0"
"03/01/2017";"1500";"34,0";"34,5";"33,2";"43,0";"45,0";"40,0";"19,5";"20,5";"18,9";"1012,2";"1013,0";"1012,2";"3,0";"5,0";"7,9";"3829,30";"0,0"
"03/01/2017";"1600";"33,1";"34,8";"33,1";"48,0";"50,0";"41,0";"20,7";"21,5";"19,5";"1011,9";"1012,2";"1011,8";"3,8";"51,0";"9,2";"3694,80";"0,0"
"03/01/2017";"1700";"33,0";"33,5";"32,9";"47,0";"50,0";"47,0";"20,1";"21,2";"20,1";"1011,3";"1011,9";"1011,3";"3,9";"59,0";"9,6";"3677,70";"0,0"
"03/01/2017";"1800";"32,9";"33,4";"32,6";"46,0";"49,0";"45,0";"19,8";"20,3";"19,3";"1010,8";"1011,3";"1010,8";"3,8";"40,0";"9,0";"2973,10";"0,0"
"03/01/2017";"1900";"31,3";"33,0";"31,3";"52,0";"52,0";"45,0";"20,2";"20,3";"19,4";"1010,5";"1010,8";"1010,4";"3,8";"46,0";"8,6";"2028,80";"0,0"
"03/01/2017";"2000";"29,5";"31,3";"29,5";"60,0";"60,0";"52,0";"20,8";"20,9";"20,2";"1010,9";"1010,9";"1010,4";"3,2";"38,0";"8,9";"653,10";"0,0"
"03/01/2017";"2100";"28,3";"29,5";"28,3";"65,0";"65,0";"59,0";"21,0";"21,1";"20,1";"1011,2";"1011,2";"1010,8";"3,0";"29,0";"8,4";"207,60";"0,0"
"03/01/2017";"2200";"27,5";"28,3";"27,5";"72,0";"72,0";"65,0";"22,1";"22,1";"21,0";"1012,1";"1012,1";"1011,2";"3,1";"38,0";"8,0";"11,10";"0,0"
"03/01/2017";"2300";"26,9";"27,5";"26,9";"78,0";"78,0";"72,0";"22,6";"22,7";"22,1";"1012,6";"1012,6";"1012,1";"2,2";"7,0";"8,0";"";"0,0"
"04/01/2017";"0000";"26,4";"26,9";"26,4";"79,0";"79,0";"77,0";"22,5";"22,6";"22,4";"1013,1";"1013,1";"1012,6";"1,9";"343,0";"6,8";"";"0,0"
"04/01/2017";"0100";"26,0";"26,4";"25,9";"80,0";"82,0";"79,0";"22,3";"22,7";"22,3";"1013,9";"1013,9";"1013,1";"1,9";"346,0";"4,9";"";"0,0"
"04/01/2017";"0200";"25,8";"26,0";"25,8";"80,0";"80,0";"79,0";"22,1";"22,3";"22,1";"1013,7";"1013,9";"1013,6";"2,0";"337,0";"5,1";"";"0,0"
"04/01/2017";"0300";"25,7";"25,9";"25,7";"77,0";"80,0";"77,0";"21,4";"22,1";"21,4";"1014,0";"1014,0";"1013,6";"1,7";"338,0";"7,5";"";"0,0"
"04/01/2017";"0400";"25,0";"25,7";"25,0";"81,0";"81,0";"77,0";"21,5";"21,5";"21,2";"1013,7";"1014,0";"1013,5";"0,9";"340,0";"3,7";"";"0,0"
"04/01/2017";"0500";"25,0";"25,1";"24,9";"81,0";"82,0";"81,0";"21,5";"21,8";"21,5";"1013,9";"1013,9";"1013,6";"0,9";"326,0";"2,6";"";"0,0"
"04/01/2017";"0600";"24,7";"25,0";"24,7";"80,0";"82,0";"80,0";"21,1";"21,5";"21,1";"1013,7";"1013,9";"1013,6";"1,3";"334,0";"3,0";"";"0,0"
"04/01/2017";"0700";"24,1";"24,7";"24,1";"84,0";"84,0";"80,0";"21,3";"21,3";"21,0";"1013,9";"1014,0";"1013,7";"0,8";"335,0";"3,0";"";"0,0"
"04/01/2017";"0800";"23,7";"24,1";"23,7";"89,0";"89,0";"84,0";"21,7";"21,7";"21,3";"1014,2";"1014,2";"1013,9";"0,5";"302,0";"1,7";"";"0,0"
"04/01/2017";"0900";"24,4";"24,4";"23,6";"91,0";"92,0";"89,0";"22,8";"22,8";"21,7";"1015,1";"1015,1";"1014,2";"0,5";"323,0";"1,7";"109,70";"0,0"
"04/01/2017";"1000";"27,1";"27,1";"24,4";"65,0";"91,0";"65,0";"20,0";"22,8";"19,7";"1015,4";"1015,4";"1015,0";"2,1";"318,0";"4,5";"809,50";"0,0"
"04/01/2017";"1100";"29,1";"29,2";"27,0";"57,0";"65,0";"56,0";"19,8";"20,2";"19,1";"1015,5";"1015,5";"1015,4";"2,2";"340,0";"6,1";"1936,60";"0,0"
"04/01/2017";"1200";"30,3";"30,3";"29,1";"53,0";"58,0";"51,0";"19,5";"20,5";"18,8";"1015,7";"1015,7";"1015,5";"2,6";"349,0";"7,6";"2516,30";"0,0"
"04/01/2017";"1300";"30,8";"31,6";"30,1";"50,0";"52,0";"45,0";"19,1";"19,7";"18,0";"1015,7";"1015,7";"1015,6";"2,9";"353,0";"8,0";"2939,80";"0,0"
"04/01/2017";"1400";"32,7";"33,0";"30,8";"41,0";"50,0";"40,0";"17,8";"19,3";"17,4";"1015,3";"1015,8";"1015,3";"3,2";"16,0";"9,6";"3643,40";"0,0"
"04/01/2017";"1500";"32,3";"32,7";"31,9";"50,0";"52,0";"41,0";"20,5";"21,2";"18,0";"1015,0";"1015,3";"1014,9";"3,5";"46,0";"9,0";"3234,30";"0,0"
"04/01/2017";"1600";"31,7";"32,5";"31,7";"51,0";"53,0";"49,0";"20,4";"21,2";"20,0";"1014,6";"1015,0";"1014,6";"4,4";"34,0";"9,8";"3776,70";"0,0"
"04/01/2017";"1700";"31,5";"32,0";"31,0";"50,0";"56,0";"50,0";"19,8";"21,3";"19,7";"1014,3";"1014,6";"1014,2";"4,0";"44,0";"11,5";"3443,50";"0,0"
"04/01/2017";"1800";"30,8";"31,7";"30,4";"52,0";"54,0";"48,0";"19,9";"20,3";"19,2";"1013,9";"1014,3";"1013,8";"4,4";"36,0";"10,5";"2851,80";"0,0"
"04/01/2017";"1900";"30,1";"30,9";"30,0";"59,0";"59,0";"52,0";"21,2";"21,2";"19,7";"1013,7";"1013,9";"1013,6";"4,4";"36,0";"12,0";"2243,00";"0,0"
"04/01/2017";"2000";"28,5";"30,1";"28,5";"65,0";"65,0";"59,0";"21,3";"21,5";"20,5";"1013,8";"1013,9";"1013,6";"4,0";"34,0";"13,4";"1119,20";"0,0"
"04/01/2017";"2100";"27,6";"28,5";"27,6";"68,0";"68,0";"65,0";"21,1";"21,3";"20,9";"1013,9";"1014,0";"1013,7";"4,1";"30,0";"14,0";"196,30";"0,0"
"04/01/2017";"2200";"26,9";"27,6";"26,9";"70,0";"71,0";"68,0";"21,0";"21,5";"21,0";"1014,2";"1014,2";"1013,9";"2,4";"15,0";"9,3";"20,40";"0,0"
"04/01/2017";"2300";"26,9";"27,0";"26,9";"73,0";"73,0";"70,0";"21,6";"21,6";"21,1";"1014,8";"1014,9";"1014,2";"3,0";"6,0";"8,1";"";"0,0"
"05/01/2017";"0000";"26,5";"26,9";"26,5";"72,0";"73,0";"70,0";"21,0";"21,6";"20,9";"1014,9";"1015,0";"1014,8";"2,4";"353,0";"7,9";"";"0,0"
"05/01/2017";"0100";"26,2";"26,5";"26,2";"74,0";"75,0";"72,0";"21,2";"21,4";"21,0";"1015,2";"1015,3";"1014,9";"2,7";"358,0";"7,6";"";"0,0"
"05/01/2017";"0200";"26,0";"26,2";"25,9";"74,0";"75,0";"73,0";"21,0";"21,2";"20,8";"1015,4";"1015,5";"1015,2";"2,3";"349,0";"7,6";"";"0,0"
"05/01/2017";"0300";"25,6";"26,0";"25,6";"74,0";"74,0";"73,0";"20,6";"21,0";"20,6";"1015,0";"1015,5";"1015,0";"1,9";"333,0";"6,5";"";"0,0"
"05/01/2017";"0400";"24,8";"25,6";"24,8";"78,0";"78,0";"74,0";"20,6";"20,7";"20,5";"1014,5";"1015,0";"1014,4";"0,8";"330,0";"4,8";"";"0,0"
"05/01/2017";"0500";"24,1";"24,8";"24,1";"83,0";"83,0";"78,0";"21,1";"21,1";"20,6";"1014,4";"1014,6";"1014,3";"0,9";"358,0";"2,9";"";"0,0"
"05/01/2017";"0600";"24,1";"24,1";"24,0";"81,0";"83,0";"81,0";"20,7";"21,1";"20,7";"1014,8";"1014,8";"1014,4";"0,8";"5,0";"3,0";"";"0,0"
"05/01/2017";"0700";"23,3";"24,1";"23,3";"88,0";"88,0";"81,0";"21,2";"21,2";"20,6";"1015,1";"1015,2";"1014,8";"0,6";"35,0";"2,0";"";"0,0"
"05/01/2017";"0800";"23,3";"23,3";"23,1";"89,0";"90,0";"88,0";"21,4";"21,5";"21,1";"1015,1";"1015,2";"1015,1";"0,9";"343,0";"2,6";"";"0,0"
"05/01/2017";"0900";"24,5";"24,5";"23,3";"78,0";"89,0";"78,0";"20,4";"21,5";"20,4";"1016,0";"1016,0";"1015,1";"0,9";"340,0";"2,2";"121,20";"0,0"
"05/01/2017";"1000";"27,1";"27,2";"24,5";"62,0";"78,0";"62,0";"19,2";"20,4";"19,1";"1016,1";"1016,2";"1015,9";"1,2";"326,0";"3,5";"867,40";"0,0"
"05/01/2017";"1100";"29,0";"29,0";"27,1";"52,0";"62,0";"52,0";"18,3";"19,4";"18,0";"1016,2";"1016,2";"1016,0";"2,9";"324,0";"7,8";"1724,20";"0,0"
"05/01/2017";"1200";"31,2";"31,2";"29,0";"47,0";"53,0";"46,0";"18,7";"19,2";"18,0";"1016,4";"1016,4";"1016,2";"2,2";"341,0";"6,6";"2521,60";"0,0"
"05/01/2017";"1300";"32,1";"32,1";"31,0";"45,0";"49,0";"43,0";"18,6";"19,0";"17,7";"1016,1";"1016,4";"1016,1";"3,2";"6,0";"9,6";"3192,80";"0,0"
"05/01/2017";"1400";"33,2";"33,3";"32,2";"42,0";"46,0";"41,0";"18,6";"19,3";"17,9";"1015,4";"1016,1";"1015,4";"3,2";"357,0";"9,1";"3640,30";"0,0"
"05/01/2017";"1500";"33,1";"34,4";"32,9";"49,0";"50,0";"38,0";"20,8";"21,2";"17,8";"1014,7";"1015,4";"1014,7";"3,6";"40,0";"8,6";"3644,70";"0,0"
"05/01/2017";"1600";"33,0";"33,1";"31,7";"50,0";"52,0";"48,0";"21,1";"21,3";"20,2";"1014,3";"1014,8";"1014,2";"3,5";"43,0";"10,6";"3548,30";"0,0"
"05/01/2017";"1700";"31,8";"33,0";"31,7";"52,0";"53,0";"48,0";"20,7";"21,2";"20,4";"1013,6";"1014,3";"1013,6";"4,5";"30,0";"10,5";"3451,30";"0,0"
"05/01/2017";"1800";"30,9";"32,2";"30,8";"57,0";"58,0";"51,0";"21,4";"21,5";"20,8";"1013,2";"1013,6";"1013,2";"4,4";"26,0";"11,4";"2926,50";"0,0"
"05/01/2017";"1900";"30,3";"30,9";"30,2";"60,0";"60,0";"56,0";"21,5";"21,5";"21,0";"1012,8";"1013,2";"1012,8";"4,4";"34,0";"11,1";"2206,40";"0,0"
"05/01/2017";"2000";"29,1";"30,5";"29,1";"62,0";"62,0";"58,0";"21,1";"21,6";"20,8";"1012,8";"1012,9";"1012,6";"4,5";"41,0";"12,0";"1354,90";"0,0"
"05/01/2017";"2100";"28,1";"29,1";"28,1";"66,0";"66,0";"62,0";"21,2";"21,7";"21,0";"1013,2";"1013,2";"1012,8";"3,4";"42,0";"11,1";"357,70";"0,0"
"05/01/2017";"2200";"27,4";"28,1";"27,4";"71,0";"72,0";"66,0";"21,8";"21,9";"21,1";"1013,9";"1014,0";"1013,1";"3,5";"27,0";"9,9";"13,70";"0,0"
"05/01/2017";"2300";"26,7";"27,4";"26,7";"72,0";"73,0";"71,0";"21,1";"21,8";"21,1";"1014,8";"1014,8";"1014,0";"1,8";"319,0";"9,0";"";"0,0"
"06/01/2017";"0000";"26,4";"26,7";"26,4";"71,0";"73,0";"71,0";"20,7";"21,2";"20,7";"1015,2";"1015,2";"1014,8";"2,3";"315,0";"4,3";"";"0,0"
"06/01/2017";"0100";"26,3";"26,5";"26,3";"72,0";"72,0";"70,0";"20,8";"20,8";"20,6";"1015,3";"1015,3";"1015,0";"2,5";"324,0";"5,8";"";"0,0"
"06/01/2017";"0200";"26,4";"26,5";"26,2";"73,0";"73,0";"69,0";"21,1";"21,1";"20,2";"1015,3";"1015,4";"1015,2";"2,0";"353,0";"9,3";"";"0,0"
"06/01/2017";"0300";"26,3";"26,5";"26,3";"74,0";"74,0";"72,0";"21,2";"21,3";"21,1";"1014,8";"1015,3";"1014,8";"2,5";"355,0";"7,0";"";"0,0"
"06/01/2017";"0400";"26,0";"26,3";"26,0";"74,0";"75,0";"73,0";"21,1";"21,4";"21,0";"1014,3";"1014,8";"1014,3";"2,3";"350,0";"7,1";"";"0,0"
"06/01/2017";"0500";"25,3";"26,0";"25,3";"78,0";"78,0";"74,0";"21,1";"21,2";"20,8";"1014,3";"1014,4";"1014,1";"1,3";"336,0";"6,0";"";"0,0"
"06/01/2017";"0600";"24,8";"25,3";"24,8";"81,0";"81,0";"78,0";"21,3";"21,4";"21,1";"1013,9";"1014,3";"1013,9";"0,8";"351,0";"3,5";"";"0,0"
"06/01/2017";"0700";"25,0";"25,1";"24,7";"80,0";"82,0";"80,0";"21,3";"21,7";"21,3";"1014,1";"1014,1";"1013,8";"1,2";"353,0";"3,8";"";"0,0"
"06/01/2017";"0800";"24,0";"25,0";"24,0";"84,0";"85,0";"80,0";"21,2";"21,3";"21,2";"1014,5";"1014,5";"1014,1";"0,7";"334,0";"3,2";"";"0,0"
"06/01/2017";"0900";"25,3";"25,3";"23,9";"73,0";"85,0";"73,0";"20,2";"21,3";"20,2";"1015,0";"1015,0";"1014,5";"1,8";"14,0";"5,6";"123,80";"0,0"
"06/01/2017";"1000";"27,4";"27,4";"25,3";"60,0";"73,0";"60,0";"19,1";"20,4";"18,9";"1015,3";"1015,3";"1015,0";"3,2";"328,0";"7,9";"862,50";"0,0"
"06/01/2017";"1100";"28,2";"28,5";"27,4";"57,0";"61,0";"55,0";"18,8";"19,2";"18,4";"1015,5";"1015,6";"1015,3";"3,6";"329,0";"9,6";"1339,20";"0,0"
"06/01/2017";"1200";"30,7";"30,9";"28,2";"50,0";"57,0";"47,0";"19,1";"19,4";"18,2";"1015,4";"1015,6";"1015,4";"3,1";"360,0";"7,9";"2630,90";"0,0"
"06/01/2017";"1300";"31,9";"31,9";"30,7";"46,0";"50,0";"45,0";"18,9";"19,6";"18,3";"1015,2";"1015,5";"1015,2";"3,2";"4,0";"9,3";"3112,50";"0,0"
